country,university,field,level,amount_eur_year,note,source_url
Germany,Heidelberg University,all,bachelor+master,3000,"Baden-Wuerttemberg non-EU fee 1,500 EUR/semester = 3,000/yr; EU exempt; +admin fee",https://www.uni-heidelberg.de/en/study/management-of-studies/semester-fees/tuition-fees-for-international-students
Germany,TU Munich,all,bachelor,4000,"Non-EU bachelor 2,000-3,000 EUR/semester (approx 4,000-6,000/yr) from WS2024/25; EU exempt",https://www.tum.de/en/studies/fees/tuition
Germany,TU Munich,all,master,8000,"Non-EU master 4,000-6,000 EUR/semester (approx 8,000-12,000/yr) from WS2024/25; EU exempt",https://www.tum.de/en/studies/fees/tuition
France,Sciences Po (Paris),all,bachelor+master,not found / see notes,"Income-based sliding scale, NOT the national flat fee; tuition can reach ~14,000-19,000 EUR/yr for top non-EU income bands",https://www.sciencespo.fr/en/students/tuition-fees-and-financial-aid/
France,Sorbonne Universite (Paris),all,bachelor+master,178,Applies the national rates; differentiated non-EU fees applicable per MESR scope,https://www.campusfrance.org/en/tuition-fees-France
Italy,Politecnico di Milano,all,bachelor+master,3893,"Max 3,893.04 EUR/yr (standard plan, ISEE>30,000); ISEE up to 22,000 pays only 167.04 EUR; non-EU 'reserved' category pays the maximum",https://www.polimi.it/en/prospective-students/how-much-does-it-cost/laurea-laurea-magistrale-and-single-cycle-programmes
Italy,Universita di Bologna,all,bachelor+master,not found / see notes,ISEE-based; full exemption below threshold then progressive up to max,https://www.unibo.it/en/study/enrolment-fees-and-other-procedures/degree-programmes/tuition-fees-and-exemptions/ISEE-and-other-documentation-for-tuition-fee-exemptions
Italy,Sapienza Universita di Roma,all,bachelor+master,not found / see notes,ISEE-based; no-tax area + progressive contribution,https://www.uniroma1.it/en/pagina/tuition-fees-and-benefits
Netherlands,University of Amsterdam,all,bachelor,12075,"Non-EU institutional bachelor 12,075-34,800 EUR/yr (Humanities ~12,900; Medicine/Dentistry 34,800)",https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees-2025-2026/tuition-fees-2025-2026.html
Netherlands,University of Amsterdam,all,master,15290,"Non-EU institutional master 15,290-37,500 EUR/yr (Medicine 37,500)",https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees-2025-2026/tuition-fees-2025-2026.html
Netherlands,TU Delft,engineering,bachelor,19906,"Non-EU/EFTA BSc institutional fee 19,906 EUR/yr (2026); statutory EU fee 2,601 (2025-26)",https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/tuition-fee-finances/statutory-fee
Netherlands,TU Delft,engineering,master,25633,"Non-EU/EFTA MSc institutional fee 25,633 EUR/yr (2026); 2025-26 range ~17,310-22,290",https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/tuition-fee-finances/statutory-fee
Belgium,KU Leuven,all,bachelor+master,9494,"Non-EEA 9,493.90 EUR/yr (60 cr); EEA 1,157 EUR/yr",https://www.kuleuven.be/english/education/student/fees/tuition-fee-breakdown
Spain,Universidad Complutense Madrid,all,bachelor,not found / see notes,Grado 2024-25: ~113.71-136.44 EUR/credit for foreign students; ~60 ECTS/yr,https://www.ucm.es/informacion/precios-de-grado
Spain,Universidad Complutense Madrid,all,master,not found / see notes,Master 2025-26: 45.02 EUR/credit 1st enrolment; non-EU non-resident pay the 4th-enrolment public price band,https://www.ucm.es/informacion/precios-masteres
Spain,Universitat de Barcelona,all,bachelor+master,not found / see notes,"Catalonia per-credit; non-EU non-resident ~110 EUR/credit (~6,600/yr for 60 ECTS)",http://www4.giga.ub.edu/acad/calc_matricula/?lang=en
Austria,University of Vienna,all,bachelor+master,1453,"Non-EU 726.72 EUR/semester (1,453.44/yr); EU/EEA effectively free within standard duration",https://studieren.univie.ac.at/en/tuition-fee/amount-tuition-fee/
Switzerland,ETH Zurich,all,bachelor+master,4690,"Threefold fee CHF 2,190/semester (CHF 4,380/yr) for foreign-qualified students from autumn 2025",https://ethz.ch/students/en/studies/financial/tuition-fees.html
Switzerland,EPFL (Lausanne),all,bachelor+master,4690,"Same ETH-Board tripling from autumn 2025; CHF 2,190/sem foreign-qualified vs CHF 730/sem",https://www.epfl.ch/education/studies/en/rules-and-procedures/study-taxes/tuition-fee-other-fees/
Sweden,KTH (Stockholm),engineering,master,16000,"Non-EU 2-yr MSc total ~360,000 SEK (~16,000 EUR/yr); + 900 SEK application fee",https://www.kth.se/en/studies/master/admissions/application-and-tuition-fees-for-master-s-studies-1.65817
Sweden,Lund University,humanities/social sciences,bachelor+master,9000,"Non-EU ~100,000 SEK/yr (~9,000 EUR) some BA programmes; science higher",https://www.lunduniversity.lu.se/study/admission-degree-studies/applying-studies-when-apply/tuition-fees
Denmark,University of Copenhagen,all,master,10000,"Non-EU master ~10,000-17,000 EUR per 60 ECTS/yr; EU free",https://www.ku.dk/studies/masters/application-and-admission/tuition-fees
Finland,University of Helsinki,English-taught,master,13000,"Non-EU English master 13,000-18,000 EUR/yr; bachelor 13,000; Finnish/Swedish-taught free for all",https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/tuition-fees-and-scholarship-programme
Ireland,Trinity College Dublin,arts/humanities/social science,bachelor,22580,"Non-EU AHSS bachelor 22,580 EUR/yr; non-EU UG range overall ~10,800-28,900 EUR/yr",https://www.tcd.ie/courses/undergraduate/fees/
Ireland,Trinity College Dublin,all,master,not found / see notes,"Non-EU postgraduate ~1,260-25,820 EUR/yr depending on course",https://www.tcd.ie/academicregistry/fees-and-payments/
Poland,University of Warsaw,English-taught,bachelor+master,4200,"English-taught programmes charge all students (incl. EU): examples 1,500-4,200 EUR/yr; Polish-taught free for EU, 5,250 EUR/yr for non-EU",https://rekrutacja.uw.edu.pl/en/application-and-tuition-fees/
Czech Republic,Charles University (Prague),medicine (English),bachelor+master,24250,"General Medicine / Dentistry in English 24,250 EUR/yr (2025-26 entrants). Czech-taught programmes free for all",https://cuni.cz/UKEN-372.html
Portugal,University of Lisbon,all,bachelor+master,697,EU rate 697 EUR/yr 2025-26; non-EU international rate set per course,https://www.ulisboa.pt/en/info/tuition-fees
Portugal,University of Coimbra,all,bachelor+master,7000,"Non-EU international students ~7,000 EUR/yr; EU pay regulated national rate",https://www.uc.pt/en/academicos/propinas/propina_ei/propina_ei_2025_2026
