scope,country,name,provider,coverage,eligibility,source_url
EU-wide,,Erasmus+ Mobility Grant (study abroad),European Commission / Erasmus+,Monthly grant approx. EUR 200-500 for 3-12 months abroad plus tuition-fee exemption at the host institution; top-ups for students with fewer opportunities.,"Students enrolled at a higher education institution holding an Erasmus Charter, doing a study period at a partner institution abroad.",https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/studying-abroad
EU-wide,,Erasmus Mundus Joint Masters (EMJM) Scholarship,European Commission / Erasmus+,"Full scholarship: EU contribution EUR 1,400/month for up to 24 months, plus travel, installation and participation costs including health insurance.","Students worldwide holding a first degree, admitted to an Erasmus Mundus Joint Master delivered by a consortium in at least three countries.",https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters
national,Germany,DAAD Scholarships,DAAD (German Academic Exchange Service),"Monthly stipend (e.g. EUR 992 students, EUR 1,300 doctoral) plus flat-rate travel allowance; not repayable.","Primarily international graduates, doctoral students and postdocs for study/research in Germany.",https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/
national,France,France Excellence Eiffel Scholarship,French Ministry for Europe and Foreign Affairs / Campus France,"Monthly stipend EUR 2,100 (from Jan 2026) plus international transport, insurance, housing search and cultural activities; tuition exemption for national diplomas at public institutions.",International (non-French) students nominated by a French institution for a master's or PhD.,https://www.campusfrance.org/en/the-france-excellence-eiffel-scholarship-program
national,Italy,Invest Your Talent in Italy,"Italian Ministry of Foreign Affairs (MAECI), ICE, Uni-Italia","Full tuition exemption plus EUR 10,000 stipend disbursed quarterly.","Citizens of eligible listed countries, for English-taught master's in engineering, architecture/design, economics/management.",https://www.esteri.it/en/servizi-opportunita/opportunita/borse-di-studio/per-cittadini-stranieri/progetti-speciali/invest-your-talent-in-italy/
national,Italy,DSU regional scholarship (Diritto allo Studio Universitario),Italian regional DSU agencies,"Means-tested (ISEE): tuition exemption, accommodation, meals and annual cash grant; varies by region/income.","Enrolled students (Italian and international, incl. non-EU) below regional income/asset thresholds.",https://www.unipi.it/en/education/registration/enrolment-and-registration/enrolment-for-international-students/dsu-scholarships/
national,Netherlands,Holland Scholarship,Dutch Ministry of Education / Nuffic and participating institutions,"One-time EUR 5,000 paid in the first year.",Non-EEA international students enrolling in a bachelor's or master's at a participating Dutch institution.,https://www.studyinnl.org/finances/holland-scholarship
national,Netherlands,Orange Tulip Scholarship (OTS),Nuffic Neso offices with participating institutions,"Awards varying by university, from partial tuition waivers to full tuition, some with living allowance.",Citizens of specific Neso countries admitted to a participating Dutch programme.,https://www.nuffic.nl/en/subjects/study-in-holland-with-a-scholarship/orange-tulip-scholarship
national,Belgium,VLIR-UOS ICP Connect Scholarships,VLIR-UOS (Flemish Interuniversity Council),"Covers tuition, travel, insurance and living expenses for the full programme.",Applicants from 29 eligible developing countries admitted to selected English-taught Flemish programmes.,https://www.vliruos.be/get-funded/study-scholarships
national,Belgium,ARES Scholarships,ARES (Wallonia-Brussels Federation),"Covers tuition, international travel, subsistence allowance, registration, visa and insurance.",Residents/professionals of eligible partner countries for advanced bachelor/master or continuing education.,https://www.ares-ac.be/en/international-training-scholarships-2026-2027
national,Spain,MAEC-AECID Scholarships,Spanish Agency for International Development Cooperation (AECID),"Depending on call: monthly stipend (~EUR 1,200), tuition contribution, travel and insurance.","International and Spanish graduates, mostly postgraduate; some calls target developing countries.",https://www.exteriores.gob.es/Embajadas/abuja/en/Comunicacion/Noticias/Paginas/Articulos/Call-for-MAEC-AECID-Scholarships-20252026-from-its-Diplomatic-School-Programme.aspx
